name,address,area,county,zip,phone,備用電話號碼
臺北市衛生局,臺北市信義區市府路1號1樓東南區,信義區,臺北市,11008,1999,02-27208889#7162
臺北市社區心理衛生中心,臺北市中正區金山南路1段5號,中正區,臺北市,10053,1999#8860,02-33936779#11
長庚醫療財團法人臺北長庚紀念醫院,臺北市松山區敦化北路199號,松山區,臺北市,10507,02-27135211,
博仁綜合醫院,臺北市松山區光復北路66-68號,松山區,臺北市,10560,02-25786677,
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路2段424號,松山區,臺北市,10556,02-27718151#2692,
國軍松山總醫院附設民眾診療服務處,臺北市松山區健康路131號,松山區,臺北市,10581,02-27642151,
松山醫院,臺北市松山區南京東路5段324號,松山區,臺北市,10569,02-27616534,
培靈醫院,臺北市松山區八德路4段355號,松山區,臺北市,10565,02-27606116,
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路4段280號,大安區,臺北市,10630,02-27082121,
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路4段71巷1號,大安區,臺北市,10688,02-7713161#163,
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路4段77號,大安區,臺北市,10691,02-27510221#3011,
臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,大同區,臺北市,10341,02-25523234#2102,
臺北市立聯合醫院松德院區,臺北市信義區松德路309號,信義區,臺北市,11080,02-27263141#2602,
臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,大安區,臺北市,10629,02-27093600#5245,
臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,中正區,臺北市,10065,02-23889595#8431,
臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,中正區,臺北市,10078,02-23916470,
臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,士林區,臺北市,11146,02-28353456#6865,
臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,南港區,臺北市,11556,02-27861288#8762,
財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市中山區中山北路2段92號,中山區,臺北市,10449,02-25433535#3685,
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路2段360號,內湖區,臺北市,11449,02-27919696,
財團法人康寧醫院,臺北市內湖區成功路5段420巷26號,內湖區,臺北市,11490,02-26345500#2357,
國防醫學院三軍總醫院,臺北市內湖區成功路2段325號,內湖區,臺北市,11490,02-87923311#26000,
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,士林區,臺北市,11101,02-28332211#9460,
三軍總醫院北投分院,臺北市北投區新民路60號,北投區,臺北市,11243,02-28959808,
臺北市立關渡醫院,臺北市北投區知行路225巷12號,北投區,臺北市,11260,02-28587000#7151,
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,北投區,臺北市,11259,02-28970011,
振興醫療財團法人振興醫院,臺北市北投區振興街45號,北投區,臺北市,11220,02-28264400#3536,
行政院國軍退除役官兵輔導委員會臺北榮民總醫院,臺北市北投區石牌路2段201號,北投區,臺北市,11217,02-28757010,
臺北醫學大學附設醫院,臺北市信義區吳興街252號,信義區,臺北市,11031,02-27372181#3666,
國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7號、8號,中正區,臺北市,10002,02-23123456#62381,
財團法人臺灣省私立臺北仁濟院附設仁濟醫院,臺北市萬華區廣州街200號、243號,萬華區,臺北市,10853,02-23021133,
西園醫院,臺北市萬華區西園路2段270號,萬華區,臺北市,10864,02-23076968,
臺北市立萬芳醫院,臺北市文山區興隆路3段111號,文山區,臺北市,11696,02-29307930,
臺北市立聯合醫院附設精神科門診,臺北市中正區金山南路1段5號,中正區,臺北市,10053,02-33936779,
邱楠超診所,臺北市松山區延吉街20號,松山區,臺北市,10550,02-25702296,
啟誠聯合診所,臺北市大安區和平東路2段120號,大安區,臺北市,10663,02-23784380,
林青穀家庭醫學科診所,臺北市大安區大安路1段2-1號,大安區,臺北市,10697,02-27317557,
敦南心診所,臺北市大安區樂利路109號,大安區,臺北市,10679,02-27331995,
杏語心靈診所,臺北市大安區敦化南路1段200號1206室,大安區,臺北市,10679,02-27211526,
尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路2段276號,大安區,臺北市,10662,02-23690211,
光能身心診所,臺北市大安區忠孝東路4段15號8樓,大安區,臺北市,10691,02-27214322,
康和診所,臺北市大安區忠孝東路4段216巷11弄8號,大安區,臺北市,10686,02-27523234,
昱捷診所,臺北市大安區信義路3段202號9樓之1,大安區,臺北市,10686,02-27002709,
莊凱迪診所,臺北市大安區羅斯福路3段149號3樓之1,大安區,臺北市,10686,02-23697926,
曾醫師診所,臺北市大安區延吉街233巷9號5樓,大安區,臺北市,10696,02-27092633,
